ردیف,عنوان,شاپا,شاپای الکترونیکی,ضریب تاثیر,سال,استنادهای تجمعی,ضريب تاثير آنی,مقالات,کیفیت در موضوع سطح میانی,زبان,کشور,استان,ناشر
19466,international clinical neuroscience journal,23831871,23832096,0.044,2022,9,0,0,Neuroscience (Q4),انگلیسی,ايران,Tehran,"Functional Neurosurgery Research Center, Shahid Beheshti University of Medical Sciences"
19467,international clinical neuroscience journal,23831871,23832096,0.109,2021,12,0.029,34,Neuroscience (Q3),انگلیسی,ايران,Tehran,"Functional Neurosurgery Research Center, Shahid Beheshti University of Medical Sciences"
19468,international clinical neuroscience journal,23831871,23832096,0.017,2018,1,0,29,Neuroscience (Q4),انگلیسی,ايران,Tehran,"Functional Neurosurgery Research Center, Shahid Beheshti University of Medical Sciences"
19469,international economic studies,20089643,24763713,0,2011,2,0,12,اقتصاد و مالي (N/A),انگلیسی,ايران,Isfahan,"University of Isfahan with the cooperation of the Asia Pacific Economic Forum (APEF) and the Center of Excellence on International Economics (CEIE), University of Isfahan, Iran"
19470,international economic studies,20089643,24763713,N/A,2016,14,N/A,0,اقتصاد و مالي (N/A),انگلیسی,ايران,Isfahan,"University of Isfahan with the cooperation of the Asia Pacific Economic Forum (APEF) and the Center of Excellence on International Economics (CEIE), University of Isfahan, Iran"
19471,international economic studies,20089643,24763713,0.037,2012,9,0,6,اقتصاد و مالي (Q4),انگلیسی,ايران,Isfahan,"University of Isfahan with the cooperation of the Asia Pacific Economic Forum (APEF) and the Center of Excellence on International Economics (CEIE), University of Isfahan, Iran"
19472,international economic studies,20089643,24763713,0,2013,9,0.25,12,اقتصاد و مالي (N/A),انگلیسی,ايران,Isfahan,"University of Isfahan with the cooperation of the Asia Pacific Economic Forum (APEF) and the Center of Excellence on International Economics (CEIE), University of Isfahan, Iran"
19473,international economic studies,20089643,24763713,0.167,2014,13,0,11,اقتصاد و مالي (Q2),انگلیسی,ايران,Isfahan,"University of Isfahan with the cooperation of the Asia Pacific Economic Forum (APEF) and the Center of Excellence on International Economics (CEIE), University of Isfahan, Iran"
19474,international economic studies,20089643,24763713,0,2015,7,0,,اقتصاد و مالي (N/A),انگلیسی,ايران,Isfahan,"University of Isfahan with the cooperation of the Asia Pacific Economic Forum (APEF) and the Center of Excellence on International Economics (CEIE), University of Isfahan, Iran"
19475,international electronic journal of elementary education,,13079298,0,2013,1,0.042,24,علوم تربيتي (N/A),انگلیسی,تركيه,,Dumlupinar Universty
19476,international electronic journal of elementary education,,13079298,0.089,2012,4,0,27,علوم تربيتي (Q3),انگلیسی,تركيه,,Dumlupinar Universty
19477,international electronic journal of elementary education,,13079298,0.02,2014,4,0,28,علوم تربيتي (Q4),انگلیسی,تركيه,,Dumlupinar Universty
19478,international electronic journal of elementary education,,13079298,0.019,2015,7,0.024,42,علوم تربيتي (Q4),انگلیسی,تركيه,,Dumlupinar Universty
19479,international electronic journal of elementary education,,13079298,0.229,2016,36,0.1,50,علوم تربيتي (Q1),انگلیسی,تركيه,,Dumlupinar Universty
19480,international electronic journal of elementary education,,13079298,0.283,2017,51,0.074,54,Social Sciences (Q2),انگلیسی,تركيه,,Dumlupinar Universty
19481,international electronic journal of elementary education,,13079298,N/A,2018,7,N/A,10,Social Sciences (N/A),انگلیسی,تركيه,,Dumlupinar Universty
19482,international electronic journal of elementary education,,13079298,N/A,2019,17,N/A,0,Social Sciences (N/A),انگلیسی,تركيه,,Dumlupinar Universty
19483,international electronic journal of mathematics education,,13063030,0,2012,0,0,5,رياضي (N/A),انگلیسی,انگلستان,,"Modestum LTD, UK"
19484,international electronic journal of mathematics education,,13063030,0.143,2013,3,0,6,رياضي (Q2),انگلیسی,انگلستان,,"Modestum LTD, UK"
19485,international electronic journal of mathematics education,,13063030,0,2014,5,0.455,11,رياضي (N/A),انگلیسی,انگلستان,,"Modestum LTD, UK"
19486,international electronic journal of mathematics education,,13063030,0.059,2015,2,0,17,رياضي (Q3),انگلیسی,انگلستان,,"Modestum LTD, UK"
19487,international electronic journal of mathematics education,,13063030,0.643,2016,370,1.244,283,رياضي (Q1),انگلیسی,انگلستان,,"Modestum LTD, UK"
19488,international electronic journal of mathematics education,,13063030,N/A,2017,55,N/A,0,"Mathematics (N/A), Social Sciences (N/A)",انگلیسی,انگلستان,,"Modestum LTD, UK"
19489,international electronic journal of mathematics education,,13063030,0.014,2018,7,0.036,28,"Mathematics (Q4), Social Sciences (Q4)",انگلیسی,انگلستان,,"Modestum LTD, UK"
19490,international electronic journal of mathematics education,,13063030,0.256,2019,38,0.103,58,"Mathematics (Q1), Social Sciences (Q3)",انگلیسی,انگلستان,,"Modestum LTD, UK"
19491,international electronic journal of mathematics education,,13063030,0.349,2020,67,0.086,70,"Mathematics (Q1), Social Sciences (Q2)",انگلیسی,انگلستان,,"Modestum LTD, UK"
19492,international electronic journal of mathematics education,,13063030,0.141,2021,37,0.02,50,"Mathematics (Q2), Social Sciences (Q4)",انگلیسی,انگلستان,,"Modestum LTD, UK"
19493,international electronic journal of mathematics education,,13063030,0,2022,10,0,0,"Mathematics (N/A), Social Sciences (N/A)",انگلیسی,انگلستان,,"Modestum LTD, UK"
19494,international food research journal,19854668,22317546,0.364,2010,57,0.133,120,مهندسي كشاورزي (Q1),انگلیسی,مالزي,,"Faculty of Food Science and Technology, Universiti Putra Malaysia"
19495,international food research journal,19854668,22317546,0.448,2011,115,0.075,201,مهندسي كشاورزي (Q1),انگلیسی,مالزي,,"Faculty of Food Science and Technology, Universiti Putra Malaysia"
19496,international food research journal,19854668,22317546,0.293,2012,154,0.044,249,مهندسي كشاورزي (Q1),انگلیسی,مالزي,,"Faculty of Food Science and Technology, Universiti Putra Malaysia"
19497,international food research journal,19854668,22317546,0.264,2013,230,0.067,405,مهندسي كشاورزي (Q1),انگلیسی,مالزي,,"Faculty of Food Science and Technology, Universiti Putra Malaysia"
19498,international food research journal,19854668,22317546,N/A,2019,200,N/A,0,Agricultural and Biological Sciences (N/A),انگلیسی,مالزي,,"Faculty of Food Science and Technology, Universiti Putra Malaysia"
19499,international food research journal,19854668,22317546,0.131,2015,350,0.011,357,مهندسي كشاورزي (Q1),انگلیسی,مالزي,,"Faculty of Food Science and Technology, Universiti Putra Malaysia"
19500,international food research journal,19854668,22317546,0.174,2016,562,0.019,416,مهندسي كشاورزي (Q2),انگلیسی,مالزي,,"Faculty of Food Science and Technology, Universiti Putra Malaysia"
19501,international food research journal,19854668,22317546,0.155,2017,575,0.007,410,Agricultural and Biological Sciences (Q2),انگلیسی,مالزي,,"Faculty of Food Science and Technology, Universiti Putra Malaysia"
19502,international food research journal,19854668,22317546,N/A,2018,8,N/A,0,Agricultural and Biological Sciences (N/A),انگلیسی,مالزي,,"Faculty of Food Science and Technology, Universiti Putra Malaysia"
19503,international food research journal,19854668,22317546,0.249,2014,355,0.017,361,مهندسي كشاورزي (Q1),انگلیسی,مالزي,,"Faculty of Food Science and Technology, Universiti Putra Malaysia"
19504,international journal of administrative science and organization,8543844,23557826,0.042,2011,9,0.25,24,مديريت (Q4),انگلیسی,اندونزي,,Center of Administration Science Studies in coorporation with Faculty of Social and Political Sciences and Universitas Indonesia
19505,international journal of administrative science and organization,8543844,23557826,0.125,2010,5,0.042,24,مديريت (Q2),انگلیسی,اندونزي,,Center of Administration Science Studies in coorporation with Faculty of Social and Political Sciences and Universitas Indonesia
19506,international journal of administrative science and organization,8543844,23557826,0.104,2012,10,0,24,مديريت (Q2),انگلیسی,اندونزي,,Center of Administration Science Studies in coorporation with Faculty of Social and Political Sciences and Universitas Indonesia
19507,international journal of administrative science and organization,8543844,23557826,0,2021,4,0,0,"Business, Management and Accounting (N/A)",انگلیسی,اندونزي,,Center of Administration Science Studies in coorporation with Faculty of Social and Political Sciences and Universitas Indonesia
19508,international journal of administrative science and organization,8543844,23557826,0.033,2020,5,0,15,"Business, Management and Accounting (Q4)",انگلیسی,اندونزي,,Center of Administration Science Studies in coorporation with Faculty of Social and Political Sciences and Universitas Indonesia
19509,international journal of administrative science and organization,8543844,23557826,0.104,2013,11,0.042,24,مديريت (Q3),انگلیسی,اندونزي,,Center of Administration Science Studies in coorporation with Faculty of Social and Political Sciences and Universitas Indonesia
19510,international journal of administrative science and organization,8543844,23557826,0.031,2018,3,0,15,"Business, Management and Accounting (Q4)",انگلیسی,اندونزي,,Center of Administration Science Studies in coorporation with Faculty of Social and Political Sciences and Universitas Indonesia
19511,international journal of administrative science and organization,8543844,23557826,0,2017,3,0,15,"Business, Management and Accounting (N/A)",انگلیسی,اندونزي,,Center of Administration Science Studies in coorporation with Faculty of Social and Political Sciences and Universitas Indonesia
19512,international journal of administrative science and organization,8543844,23557826,N/A,2016,7,N/A,6,مديريت (N/A),انگلیسی,اندونزي,,Center of Administration Science Studies in coorporation with Faculty of Social and Political Sciences and Universitas Indonesia
19513,international journal of administrative science and organization,8543844,23557826,0.087,2015,8,0,18,مديريت (Q2),انگلیسی,اندونزي,,Center of Administration Science Studies in coorporation with Faculty of Social and Political Sciences and Universitas Indonesia
19514,international journal of administrative science and organization,8543844,23557826,0.063,2014,8,0,22,مديريت (Q3),انگلیسی,اندونزي,,Center of Administration Science Studies in coorporation with Faculty of Social and Political Sciences and Universitas Indonesia
19515,international journal of administrative science and organization,8543844,23557826,N/A,2019,4,N/A,0,"Business, Management and Accounting (N/A)",انگلیسی,اندونزي,,Center of Administration Science Studies in coorporation with Faculty of Social and Political Sciences and Universitas Indonesia
19516,international journal of advanced biological and biomedical research,23832762,23224827,0.176,2021,110,0.25,28,"Biochemistry, Genetics and Molecular Biology (Q2), Medicine (Q2)",انگلیسی,ايران,Ilam,Sami Publishing Company(SPC)
19517,international journal of advanced biological and biomedical research,23832762,23224827,0.056,2020,104,0.184,38,"Biochemistry, Genetics and Molecular Biology (Q4), Medicine (Q4)",انگلیسی,ايران,Ilam,Sami Publishing Company(SPC)
19518,international journal of advanced biological and biomedical research,23832762,23224827,0.034,2018,122,0.028,36,Multidisciplinary (Q4),انگلیسی,ايران,Ilam,Sami Publishing Company(SPC)
19519,international journal of advanced biological and biomedical research,23832762,23224827,0.014,2019,106,0,36,"Biochemistry, Genetics and Molecular Biology (Q4), Medicine (Q4)",انگلیسی,ايران,Ilam,Sami Publishing Company(SPC)
19520,international journal of advanced biological and biomedical research,23832762,23224827,0.136,2022,90,0.037,27,"Biochemistry, Genetics and Molecular Biology (Q3), Medicine (Q3)",انگلیسی,ايران,Ilam,Sami Publishing Company(SPC)
19521,international journal of advanced design and manufacturing technology,22520406,23834447,0.103,2018,34,0.02,49,Engineering (Q3),انگلیسی,ايران,Isfahan,"Islamic Azad University, Majlesi Branch"
19522,international journal of advanced design and manufacturing technology,22520406,23834447,0.057,2017,19,0.02,49,Engineering (Q3),انگلیسی,ايران,Isfahan,"Islamic Azad University, Majlesi Branch"
19523,international journal of advanced design and manufacturing technology,22520406,23834447,0.294,2016,37,0.042,48,مكانيك (Q1),انگلیسی,ايران,Isfahan,"Islamic Azad University, Majlesi Branch"
19524,international journal of advanced design and manufacturing technology,22520406,23834447,0.078,2015,15,0,40,مكانيك (Q2),انگلیسی,ايران,Isfahan,"Islamic Azad University, Majlesi Branch"
19525,international journal of advanced design and manufacturing technology,22520406,23834447,0.133,2014,19,0,45,مكانيك (Q2),انگلیسی,ايران,Isfahan,"Islamic Azad University, Majlesi Branch"
19526,international journal of advanced design and manufacturing technology,22520406,23834447,0.03,2013,3,0.022,45,مكانيك (Q4),انگلیسی,ايران,Isfahan,"Islamic Azad University, Majlesi Branch"
19527,international journal of advanced design and manufacturing technology,22520406,23834447,0,2011,0,0,22,مكانيك (N/A),انگلیسی,ايران,Isfahan,"Islamic Azad University, Majlesi Branch"
19528,international journal of advanced design and manufacturing technology,22520406,23834447,0,2009,0,0,40,مكانيك (N/A),انگلیسی,ايران,Isfahan,"Islamic Azad University, Majlesi Branch"
19529,international journal of advanced design and manufacturing technology,22520406,23834447,0.02,2019,30,0,45,Engineering (Q4),انگلیسی,ايران,Isfahan,"Islamic Azad University, Majlesi Branch"
19530,international journal of advanced design and manufacturing technology,22520406,23834447,0.135,2022,41,0.021,48,Engineering (Q3),انگلیسی,ايران,Isfahan,"Islamic Azad University, Majlesi Branch"
19531,international journal of advanced design and manufacturing technology,22520406,23834447,0.112,2021,47,0,45,Engineering (Q3),انگلیسی,ايران,Isfahan,"Islamic Azad University, Majlesi Branch"
19532,international journal of advanced design and manufacturing technology,22520406,23834447,0.085,2020,44,0.136,44,Engineering (Q3),انگلیسی,ايران,Isfahan,"Islamic Azad University, Majlesi Branch"
19533,international journal of advanced design and manufacturing technology,22520406,23834447,0,2010,0,0,55,مكانيك (N/A),انگلیسی,ايران,Isfahan,"Islamic Azad University, Majlesi Branch"
19534,international journal of advanced design and manufacturing technology,22520406,23834447,0.026,2012,5,0.022,45,مكانيك (Q3),انگلیسی,ايران,Isfahan,"Islamic Azad University, Majlesi Branch"
19535,international journal of advanced structural engineering,20083556,20086695,0.113,2018,15,0.061,33,Engineering (Q2),انگلیسی,ايران,Tehran,"Islamic Azad University, South Tehran Branch; Springer"
19536,international journal of advanced structural engineering,20083556,20086695,N/A,2017,21,N/A,23,Engineering (N/A),انگلیسی,ايران,Tehran,"Islamic Azad University, South Tehran Branch; Springer"
19537,international journal of advanced structural engineering,20083556,20086695,0.119,2016,11,0,30,عمران (Q2),انگلیسی,ايران,Tehran,"Islamic Azad University, South Tehran Branch; Springer"
19538,international journal of advanced structural engineering,20083556,20086695,0.06,2015,8,0.067,30,عمران (Q2),انگلیسی,ايران,Tehran,"Islamic Azad University, South Tehran Branch; Springer"
19539,international journal of advanced structural engineering,20083556,20086695,0.132,2014,7,0.069,29,عمران (Q2),انگلیسی,ايران,Tehran,"Islamic Azad University, South Tehran Branch; Springer"
19540,international journal of advanced structural engineering,20083556,20086695,0.1,2013,6,0,21,عمران (Q2),انگلیسی,ايران,Tehran,"Islamic Azad University, South Tehran Branch; Springer"
19541,international journal of advanced structural engineering,20083556,20086695,0,2012,0,0,17,عمران (N/A),انگلیسی,ايران,Tehran,"Islamic Azad University, South Tehran Branch; Springer"
19542,international journal of advanced structural engineering,20083556,20086695,0,2011,0,0,13,عمران (N/A),انگلیسی,ايران,Tehran,"Islamic Azad University, South Tehran Branch; Springer"
19543,international journal of advances in soft computing and its applications,,20748523,0,2014,1,0,33,برق و كامپيوتر (N/A),انگلیسی,اردن,,International Center for Scientific Research and Studies(ICSRS)
19544,international journal of advances in soft computing and its applications,,20748523,N/A,2017,28,N/A,34,Computer Science (N/A),انگلیسی,اردن,,International Center for Scientific Research and Studies(ICSRS)
19545,international journal of advances in soft computing and its applications,,20748523,N/A,2016,20,N/A,32,برق و كامپيوتر (N/A),انگلیسی,اردن,,International Center for Scientific Research and Studies(ICSRS)
19546,international journal of advances in soft computing and its applications,,20748523,N/A,2018,5,N/A,0,Computer Science (N/A),انگلیسی,اردن,,International Center for Scientific Research and Studies(ICSRS)
19547,international journal of advances in soft computing and its applications,,20748523,N/A,2019,2,N/A,0,Computer Science (N/A),انگلیسی,اردن,,International Center for Scientific Research and Studies(ICSRS)
19548,international journal of advances in soft computing and its applications,,20748523,0.021,2015,6,0,31,برق و كامپيوتر (Q4),انگلیسی,اردن,,International Center for Scientific Research and Studies(ICSRS)
19549,international journal of advances in soft computing and its applications,,20748523,0.053,2013,2,0,14,برق و كامپيوتر (Q3),انگلیسی,اردن,,International Center for Scientific Research and Studies(ICSRS)
19550,international journal of advances in soft computing and its applications,,20748523,0.129,2012,4,0,6,برق و كامپيوتر (Q2),انگلیسی,اردن,,International Center for Scientific Research and Studies(ICSRS)
19551,international journal of aerospace engineering,16875966,16875974,N/A,2018,0,N/A,0,Engineering (N/A),انگلیسی,مصر,,Hindawi Publishing Corporation
19552,international journal of aerospace engineering,16875966,16875974,N/A,2019,0,N/A,0,Engineering (N/A),انگلیسی,مصر,,Hindawi Publishing Corporation
19553,international journal of aerospace engineering,16875966,16875974,0,2013,0,0,23,مكانيك (N/A),انگلیسی,مصر,,Hindawi Publishing Corporation
19554,international journal of aerospace engineering,16875966,16875974,0,2014,0,0,23,مكانيك (N/A),انگلیسی,مصر,,Hindawi Publishing Corporation
19555,international journal of aerospace engineering,16875966,16875974,0,2015,1,0,67,مكانيك (N/A),انگلیسی,مصر,,Hindawi Publishing Corporation
19556,international journal of aerospace engineering,16875966,16875974,0.122,2016,13,0.011,88,مكانيك (Q2),انگلیسی,مصر,,Hindawi Publishing Corporation
19557,international journal of aerospace engineering,16875966,16875974,0.058,2017,17,0.011,91,Engineering (Q3),انگلیسی,مصر,,Hindawi Publishing Corporation
19558,international journal of agricultural management and development,21595852,21595860,0.048,2013,5,0.063,32,علوم ترويج و اقتصاد كشاورزي (Q4),انگلیسی,ايران,Gilan,"Rasht Branch in cooperation,Islamic azad University; Iranian Association of Agricultural Economic"
19559,international journal of agricultural management and development,21595852,21595860,0.224,2022,64,0,25,"Agricultural and Biological Sciences (Q2), Environmental Science (Q3)",انگلیسی,ايران,Gilan,"Rasht Branch in cooperation,Islamic azad University; Iranian Association of Agricultural Economic"
19560,international journal of agricultural management and development,21595852,21595860,0.111,2021,59,0.054,37,"Agricultural and Biological Sciences (Q3), Environmental Science (Q4)",انگلیسی,ايران,Gilan,"Rasht Branch in cooperation,Islamic azad University; Iranian Association of Agricultural Economic"
19561,international journal of agricultural management and development,21595852,21595860,0.177,2020,73,0.033,30,"Agricultural and Biological Sciences (Q2), Environmental Science (Q3)",انگلیسی,ايران,Gilan,"Rasht Branch in cooperation,Islamic azad University; Iranian Association of Agricultural Economic"
19562,international journal of agricultural management and development,21595852,21595860,0.123,2014,9,0,35,علوم ترويج و اقتصاد كشاورزي (Q3),انگلیسی,ايران,Gilan,"Rasht Branch in cooperation,Islamic azad University; Iranian Association of Agricultural Economic"
19563,international journal of agricultural management and development,21595852,21595860,0.138,2018,41,0.043,46,"Agricultural and Biological Sciences (Q2), Environmental Science (Q3)",انگلیسی,ايران,Gilan,"Rasht Branch in cooperation,Islamic azad University; Iranian Association of Agricultural Economic"
19564,international journal of agricultural management and development,21595852,21595860,0.15,2017,36,0.02,51,"Agricultural and Biological Sciences (Q2), Environmental Science (Q3)",انگلیسی,ايران,Gilan,"Rasht Branch in cooperation,Islamic azad University; Iranian Association of Agricultural Economic"
19565,international journal of agricultural management and development,21595852,21595860,0.208,2016,48,0.19,58,علوم ترويج و اقتصاد كشاورزي (Q3),انگلیسی,ايران,Gilan,"Rasht Branch in cooperation,Islamic azad University; Iranian Association of Agricultural Economic"
19566,international journal of agricultural management and development,21595852,21595860,0.104,2015,16,0.048,42,علوم ترويج و اقتصاد كشاورزي (Q2),انگلیسی,ايران,Gilan,"Rasht Branch in cooperation,Islamic azad University; Iranian Association of Agricultural Economic"
19567,international journal of agricultural management and development,21595852,21595860,0.216,2019,63,0.152,33,"Agricultural and Biological Sciences (Q2), Environmental Science (Q2)",انگلیسی,ايران,Gilan,"Rasht Branch in cooperation,Islamic azad University; Iranian Association of Agricultural Economic"
19568,"international journal of agricultural science, research and technology in extension and education systems",22517588,22517596,0.104,2021,9,0.042,24,Agricultural and Biological Sciences (Q3),انگلیسی,ايران,Khuzestan,"Shoushtar Branch, Islamic Azad University"
19569,"international journal of agricultural science, research and technology in extension and education systems",22517588,22517596,0.146,2022,19,0.083,24,Agricultural and Biological Sciences (Q3),انگلیسی,ايران,Khuzestan,"Shoushtar Branch, Islamic Azad University"
19570,"international journal of agricultural science, research and technology in extension and education systems",22517588,22517596,0.1,2020,13,0,24,Agricultural and Biological Sciences (Q3),انگلیسی,ايران,Khuzestan,"Shoushtar Branch, Islamic Azad University"
19571,"international journal of agricultural science, research and technology in extension and education systems",22517588,22517596,0.025,2019,10,0,24,Agricultural and Biological Sciences (Q4),انگلیسی,ايران,Khuzestan,"Shoushtar Branch, Islamic Azad University"
19572,"international journal of agricultural science, research and technology in extension and education systems",22517588,22517596,0,2018,2,0,26,Agricultural and Biological Sciences (N/A),انگلیسی,ايران,Khuzestan,"Shoushtar Branch, Islamic Azad University"
19573,international journal of agriculture and biology,15608530,18149596,0.473,2012,195,0.106,180,مهندسي كشاورزي (Q1),انگلیسی,پاكستان,,Friends Science Publishers (FSP)
19574,international journal of agriculture and biology,15608530,18149596,0.341,2015,318,0.044,183,مهندسي كشاورزي (Q1),انگلیسی,پاكستان,,Friends Science Publishers (FSP)
19575,international journal of agriculture and biology,15608530,18149596,0.382,2017,430,0.053,207,Agricultural and Biological Sciences (Q1),انگلیسی,پاكستان,,Friends Science Publishers (FSP)
19576,international journal of agriculture and biology,15608530,18149596,0.322,2016,374,0.023,176,مهندسي كشاورزي (Q1),انگلیسی,پاكستان,,Friends Science Publishers (FSP)
19577,international journal of agriculture and biology,15608530,18149596,0.539,2014,378,0.062,193,مهندسي كشاورزي (Q1),انگلیسی,پاكستان,,Friends Science Publishers (FSP)
19578,international journal of agriculture and biology,15608530,18149596,0.601,2013,337,0.058,226,مهندسي كشاورزي (Q1),انگلیسی,پاكستان,,Friends Science Publishers (FSP)
19579,international journal of alzheimer's disease,20908024,20900252,0.207,2016,116,0,7,بيماريهاي مغز و اعصاب (Q2),انگلیسی,مصر,,Hindawi Publishing Corporation
19580,international journal of alzheimer's disease,20908024,20900252,N/A,2018,0,N/A,0,"Biochemistry, Genetics and Molecular Biology (N/A), Medicine (N/A), Neuroscience (N/A)",انگلیسی,مصر,,Hindawi Publishing Corporation
19581,international journal of alzheimer's disease,20908024,20900252,0.6,2017,76,0,8,"Biochemistry, Genetics and Molecular Biology (Q1), Medicine (Q1), Neuroscience (Q1)",انگلیسی,مصر,,Hindawi Publishing Corporation
19582,international journal of alzheimer's disease,20908024,20900252,N/A,2019,4,N/A,0,"Biochemistry, Genetics and Molecular Biology (N/A), Medicine (N/A), Neuroscience (N/A)",انگلیسی,مصر,,Hindawi Publishing Corporation
19583,international journal of alzheimer's disease,20908024,20900252,0.012,2013,3,0,26,بيماريهاي مغز و اعصاب (Q3),انگلیسی,مصر,,Hindawi Publishing Corporation
19584,international journal of alzheimer's disease,20908024,20900252,0,2014,2,0,21,بيماريهاي مغز و اعصاب (N/A),انگلیسی,مصر,,Hindawi Publishing Corporation
19585,international journal of alzheimer's disease,20908024,20900252,0,2015,1,0,8,بيماريهاي مغز و اعصاب (N/A),انگلیسی,مصر,,Hindawi Publishing Corporation
19586,international journal of alzheimer's disease,20908024,20900252,0.021,2012,4,0,104,بيماريهاي مغز و اعصاب (Q2),انگلیسی,مصر,,Hindawi Publishing Corporation
19587,international journal of analytical chemistry,16878760,16878779,N/A,2018,0,N/A,0,Chemistry (N/A),انگلیسی,مصر,,Hindawi Publishing Corporation
19588,international journal of analytical chemistry,16878760,16878779,N/A,2019,1,N/A,0,Chemistry (N/A),انگلیسی,مصر,,Hindawi Publishing Corporation
19589,international journal of analytical chemistry,16878760,16878779,0,2015,0,0,62,شيمي (N/A),انگلیسی,مصر,,Hindawi Publishing Corporation
19590,international journal of analytical chemistry,16878760,16878779,0.092,2017,14,0.038,53,Chemistry (Q3),انگلیسی,مصر,,Hindawi Publishing Corporation
19591,international journal of analytical chemistry,16878760,16878779,0.037,2016,3,0,36,شيمي (Q4),انگلیسی,مصر,,Hindawi Publishing Corporation
19592,international journal of antennas and propagation,16875869,16875877,0.003,2013,1,0,267,برق و كامپيوتر (Q4),انگلیسی,مصر,,Hindawi Publishing Corporation
19593,international journal of antennas and propagation,16875869,16875877,0.002,2014,1,0,321,برق و كامپيوتر (Q4),انگلیسی,مصر,,Hindawi Publishing Corporation
19594,international journal of antennas and propagation,16875869,16875877,0.009,2015,6,0,310,برق و كامپيوتر (Q4),انگلیسی,مصر,,Hindawi Publishing Corporation
19595,international journal of antennas and propagation,16875869,16875877,0.128,2016,175,0.033,215,برق و كامپيوتر (Q2),انگلیسی,مصر,,Hindawi Publishing Corporation
19596,international journal of antennas and propagation,16875869,16875877,0.149,2017,202,0.045,224,Engineering (Q2),انگلیسی,مصر,,Hindawi Publishing Corporation
19597,international journal of antennas and propagation,16875869,16875877,N/A,2018,0,N/A,0,Engineering (N/A),انگلیسی,مصر,,Hindawi Publishing Corporation
19598,international journal of antennas and propagation,16875869,16875877,N/A,2019,3,N/A,0,Engineering (N/A),انگلیسی,مصر,,Hindawi Publishing Corporation
19599,international journal of antennas and propagation,16875869,16875877,0,2012,1,0.003,308,برق و كامپيوتر (N/A),انگلیسی,مصر,,Hindawi Publishing Corporation
19600,international journal of applied and computational mathematics,23495103,21995796,N/A,2017,1,N/A,0,N/A,انگلیسی,هندوستان,,Springer Berlin Heidelberg; Springer India
19601,international journal of applied and computational mathematics,23495103,21995796,N/A,2016,0,N/A,48,N/A,انگلیسی,هندوستان,,Springer Berlin Heidelberg; Springer India
19602,international journal of applied and computational mathematics,23495103,21995796,N/A,2018,1,N/A,0,Mathematics (N/A),انگلیسی,هندوستان,,Springer Berlin Heidelberg; Springer India
19603,international journal of applied and computational mathematics,23495103,21995796,N/A,2019,8,N/A,0,Mathematics (N/A),انگلیسی,هندوستان,,Springer Berlin Heidelberg; Springer India
19604,international journal of applied behavioral sciences,23834129,24235253,N/A,2018,5,N/A,0,"Medicine (N/A), Psychology (N/A)",انگلیسی,ايران,Tehran,Behavioral Sciences Research Center of Shahid Beheshti University of Medical Sciences (SBMU)
19605,international journal of applied behavioral sciences,23834129,24235253,N/A,2016,0,N/A,26,روانپزشكي (N/A),انگلیسی,ايران,Tehran,Behavioral Sciences Research Center of Shahid Beheshti University of Medical Sciences (SBMU)
19606,international journal of applied behavioral sciences,23834129,24235253,N/A,2019,13,N/A,0,"Medicine (N/A), Psychology (N/A)",انگلیسی,ايران,Tehran,Behavioral Sciences Research Center of Shahid Beheshti University of Medical Sciences (SBMU)
19607,international journal of applied behavioral sciences,23834129,24235253,0.776,2022,85,0.042,24,"Medicine (Q1), Psychology (Q1)",انگلیسی,ايران,Tehran,Behavioral Sciences Research Center of Shahid Beheshti University of Medical Sciences (SBMU)
19608,international journal of applied behavioral sciences,23834129,24235253,0.5,2021,60,0.08,25,"Medicine (Q1), Psychology (Q2)",انگلیسی,ايران,Tehran,Behavioral Sciences Research Center of Shahid Beheshti University of Medical Sciences (SBMU)
19609,international journal of applied behavioral sciences,23834129,24235253,0.333,2020,37,0.083,24,"Medicine (Q1), Psychology (Q3)",انگلیسی,ايران,Tehran,Behavioral Sciences Research Center of Shahid Beheshti University of Medical Sciences (SBMU)
19610,international journal of applied linguistics and english literature,22003592,22003452,0.037,2014,11,0,,ادبيات و زبانها (Q4),انگلیسی,استراليا,,Australian International Academic Centre PTY. LTD. (AIAC PTY.)
19611,international journal of applied linguistics and english literature,22003592,22003452,0.083,2016,77,0.095,211,ادبيات و زبانها (Q2),انگلیسی,استراليا,,Australian International Academic Centre PTY. LTD. (AIAC PTY.)
19612,international journal of applied linguistics and english literature,22003592,22003452,0.102,2017,108,0.064,220,"Humanities (Q2), Social Sciences (Q3)",انگلیسی,استراليا,,Australian International Academic Centre PTY. LTD. (AIAC PTY.)
19613,international journal of aquatic biology,23830956,23225270,0.042,2022,47,0.017,59,Agricultural and Biological Sciences (Q4),انگلیسی,ايران,Alborz,the Iranian Society of Ichthyology in collaboration with the Staff of Fisheries Department of the University of Tehran
19614,international journal of aquatic biology,23830956,23225270,0.457,2015,58,0.288,52,شيلات (Q1),انگلیسی,ايران,Alborz,the Iranian Society of Ichthyology in collaboration with the Staff of Fisheries Department of the University of Tehran
19615,international journal of aquatic biology,23830956,23225270,0.47,2016,73,0.067,45,مهندسي منابع طبيعي (Q1),انگلیسی,ايران,Alborz,the Iranian Society of Ichthyology in collaboration with the Staff of Fisheries Department of the University of Tehran
